48.781,41.138,2.005,2.772,2.147,0.631,1.707,0,0.026,0.793,1025
50.855,23.559,8.140,6.304,7.275,1.979,1.056,0.452,0.135,0.245,1013
49.482,21.274,11.740,6.523,7.184,1.783,1.006,0.690,0.102,0.216,1229
34.459,16.193,26.214,8.519,11.483,0.824,0.623,1.114,0.217,0.354,1125
50.739,23.224,10.599,6.132,5.345,1.810,0.976,0.743,0.158,0.274,1148
51.163,22.944,10.065,6.484,5.573,1.775,0.964,0.623,0.168,0.241,1135
35.204,16.792,28.059,7.185,9.947,0.558,0.833,0.729,0.332,0.371,1060
48.213,22.986,11.856,7.055,6.563,1.547,0.908,0.455,0.180,0.247,1145
26.078,14.005,37.383,7.126,14.096,0.232,0.436,0,0.422,0.222,1144
32.441,17.862,23.625,8.016,16.633,0.266,0.680,0,0.274,0.203,1000
49.707,23.285,11.576,6.601,4.884,1.692,0.886,0.871,0.170,0.328,1120
41.435,19.949,18.056,8.553,8.765,0.959,0.882,0.759,0.210,0.432,1125
35.233,18.634,25.342,10.639,5.134,0.297,0.800,1.282,0.280,2.358,1130
29.139,14.258,27.946,9.157,15.471,0.614,0.714,2.075,0.345,0.281,965
27.470,13.476,31.752,9.770,12.748,0.252,0.670,2.806,0.398,0.658,1105
33.186,15.923,26.888,8.191,11.691,0.742,0.710,1.986,0.312,0.371,1110
53.657,21.943,9.232,4.488,5.514,2.656,0.753,0.815,0.134,0.808,1130
51.281,24.591,8.053,6.153,6.613,2.013,0.922,0,0.129,0.245,1175
31.209,18.804,19.610,14.336,14.215,0.380,0.863,0,0.245,0.338,1210
41.656,18.110,14.814,8.531,12.941,1.318,0.764,1.554,0.188,0.124,1145
45.550,21.889,11.612,8.928,8.201,1.588,0.852,0.883,0.148,0.349,1080
55.477,25.715,7.538,4.346,2.843,1.831,0.886,0.886,0.072,0.406,1095

